Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
1,2013-14,12492,985,942,927,882,947,943,858,749,848,898,725,1129,907,752,6167,49.4,6325,50.6,2868,23,2162,17.3,5110,40.9,307,2.5,2045,16.4,2585,20.7,1306,10.5,8141,65.2,No Data
2,2013-14,62741,1348,3113,3213,3031,2852,2665,2608,2406,2325,2473,9994,10030,8415,8268,32842,52.3,29899,47.7,14688,23.4,10796,17.2,21226,33.8,1731,2.8,14300,22.8,9506,15.2,6361,10.1,35468,56.5,No Data
3,2013-14,23098,860,1483,1532,1391,1457,1489,1334,1432,1371,1427,2467,2444,2310,2101,12307,53.3,10791,46.7,1809,7.8,5825,25.2,8106,35.1,691,3,6667,28.9,3634,15.7,1394,6,12307,53.3,No Data
4,2013-14,14265,1050,1027,1094,1105,1083,1067,1072,1050,1038,1076,1068,985,765,785,7322,51.3,6943,48.7,921,6.5,3815,26.7,8799,61.7,221,1.5,509,3.6,3274,23,1509,10.6,11619,81.5,No Data
5,2013-14,13150,1178,840,849,878,916,858,759,849,917,960,1233,1099,899,915,6385,48.6,6765,51.4,397,3,6920,52.6,5142,39.1,216,1.6,475,3.6,2576,19.6,1297,9.9,11069,84.2,No Data
6,2013-14,25091,1394,2007,2195,2095,2094,2117,1775,1678,1908,2038,1717,1542,1102,1429,12160,48.5,12931,51.5,291,1.2,1883,7.5,21811,86.9,163,0.6,943,3.8,4119,16.4,7678,30.6,21546,85.9,No Data
7,2013-14,20195,1161,1265,1367,1342,1358,1300,1292,1343,1347,1315,2135,1913,1515,1542,9507,47.1,10688,52.9,230,1.1,5501,27.2,14093,69.8,177,0.9,194,1,4450,22,3478,17.2,18596,92.1,No Data
8,2013-14,30453,1975,2262,2462,2296,2249,2042,2139,2113,2142,2242,2489,2163,1758,2121,14993,49.2,15460,50.8,1467,4.8,7443,24.4,19355,63.6,333,1.1,1855,6.1,6671,21.9,3424,11.2,24391,80.1,No Data
9,2013-14,36813,1898,3060,3192,3132,3023,2781,2638,2807,2880,2921,2382,2360,2027,1712,18064,49.1,18749,50.9,484,1.3,11216,30.5,24525,66.6,271,0.7,317,0.9,7347,20,8435,22.9,33772,91.7,No Data
10,2013-14,57339,2210,4456,4778,4550,4270,4113,4013,3714,3673,4005,4932,4639,3845,4141,28119,49,29220,51,4323,7.5,10217,17.8,38804,67.7,667,1.2,3328,5.8,10895,19,11724,20.4,47430,82.7,No Data
11,2013-14,39954,1952,3159,3417,3285,3280,3163,3065,2993,3159,3069,3087,2722,1837,1766,18966,47.5,20988,52.5,2894,7.2,16908,42.3,16536,41.4,643,1.6,2973,7.4,7484,18.7,3739,9.4,30229,75.7,No Data
12,2013-14,24653,1415,1955,2069,1930,1976,1795,1764,1717,1794,1785,1777,1828,1578,1270,12164,49.3,12489,50.7,500,2,6646,27,16908,68.6,316,1.3,283,1.1,4941,20,4369,17.7,22164,89.9,No Data
13,2013-14,22551,842,1215,1301,1219,1146,1039,938,828,960,995,2999,3139,2787,3143,10945,48.5,11606,51.5,4196,18.6,11716,52,3609,16,556,2.5,2474,11,2926,13,996,4.4,15940,70.7,No Data
14,2013-14,21064,1600,1413,1459,1366,1219,1279,1234,1274,1322,1378,1979,2132,1795,1614,10084,47.9,10980,52.1,849,4,5109,24.3,12421,59,205,1,2480,11.8,4119,19.6,2295,10.9,15559,73.9,No Data
15,2013-14,30729,2096,3228,3316,3113,2907,2744,2529,1772,1723,1684,1668,1649,1234,1066,15455,50.3,15274,49.7,4806,15.6,4831,15.7,12375,40.3,679,2.2,8038,26.2,5844,19,5189,16.9,18508,60.2,No Data
16,2013-14,9063,889,660,690,727,705,700,605,522,549,641,538,543,480,814,4328,47.8,4735,52.2,137,1.5,7208,79.5,1535,16.9,79,0.9,104,1.1,2060,22.7,380,4.2,7668,84.6,No Data
17,2013-14,25604,1782,1531,1750,1759,1672,1564,1571,1725,1914,1955,2203,2387,1911,1880,12957,50.6,12647,49.4,581,2.3,20481,80,3422,13.4,419,1.6,701,2.7,4017,15.7,2502,9.8,21234,82.9,No Data
18,2013-14,17614,799,1148,1386,1308,1437,1385,1329,1367,1373,1467,1146,1281,1141,1047,8709,49.4,8904,50.6,198,1.1,15662,88.9,1157,6.6,180,1,417,2.4,2991,17,895,5.1,14010,79.5,No Data
19,2013-14,24798,1693,1894,2070,2004,1975,1896,1816,1792,1764,1803,1749,1455,1174,1713,11794,47.6,13004,52.4,1555,6.3,12338,49.8,10206,41.2,335,1.4,364,1.5,4560,18.4,2791,11.3,21395,86.3,No Data
20,2013-14,49506,2333,4029,4290,4160,3852,3671,3532,3589,3494,3838,3879,3628,2640,2571,23574,47.6,25932,52.4,20585,41.6,1800,3.6,12966,26.2,371,0.7,13784,27.8,7095,14.3,12176,24.6,37118,75,No Data
21,2013-14,34943,1972,2163,2316,2121,2097,2086,1893,2740,2740,2752,3395,3237,2588,2843,16966,48.6,17977,51.4,8761,25.1,5669,16.2,8675,24.8,357,1,11481,32.9,5859,16.8,5195,14.9,24085,68.9,No Data
22,2013-14,35912,2147,2801,3077,2943,2832,2750,2768,2163,2247,2305,2629,2854,2023,2373,17700,49.3,18212,50.7,6398,17.8,13288,37,5178,14.4,438,1.2,10610,29.5,5236,14.6,3534,9.8,23528,65.5,No Data
23,2013-14,10767,890,779,856,779,795,853,686,1031,1017,1189,496,544,439,413,5117,47.5,5650,52.5,94,0.9,8341,77.5,2114,19.6,121,1.1,97,0.9,2312,21.5,466,4.3,9533,88.5,No Data
24,2013-14,59750,3660,5235,5342,5033,4987,4795,4523,3968,4284,4222,3773,3487,3153,3288,28247,47.3,31503,52.7,11827,19.8,1860,3.1,37157,62.2,492,0.8,8414,14.1,8411,14.1,12875,21.5,43982,73.6,No Data
25,2013-14,37279,2375,2918,3129,2826,2683,2639,2503,2489,2483,2637,3048,2530,2338,2681,18209,48.8,19070,51.2,17422,46.7,3458,9.3,10562,28.3,402,1.1,5435,14.6,5063,13.6,6491,17.4,25603,68.7,No Data
26,2013-14,31982,1271,1800,1898,1756,1719,1856,1736,1922,1868,1969,4198,3508,3340,3141,15604,48.8,16378,51.2,16296,51,4024,12.6,5383,16.8,516,1.6,5763,18,4157,13,2406,7.5,18334,57.3,No Data
27,2013-14,45926,2518,3707,3859,3612,3529,3480,3570,3578,3679,3649,3229,2727,2624,2165,21935,47.8,23991,52.2,10734,23.4,12114,26.4,16839,36.7,1588,3.5,4651,10.1,7248,15.8,4068,8.9,35776,77.9,No Data
28,2013-14,40444,2142,2835,2957,2807,2711,2561,2617,2404,2327,2456,3954,3904,3392,3377,20112,49.7,20332,50.3,11748,29,9982,24.7,10501,26,1649,4.1,6564,16.2,5645,14,3910,9.7,28273,69.9,No Data
29,2013-14,27645,1575,2379,2707,2561,2438,2470,2422,2209,2374,2462,1200,1090,945,813,13569,49.1,14076,50.9,4189,15.2,18465,66.8,3804,13.8,684,2.5,503,1.8,4212,15.2,1893,6.8,21030,76.1,No Data
30,2013-14,41218,2639,3131,3408,3219,3085,2910,3125,3400,3232,3290,2756,2706,2080,2237,20335,49.3,20883,50.7,9200,22.3,2923,7.1,22154,53.7,504,1.2,6437,15.6,5682,13.8,7751,18.8,29772,72.2,No Data
31,2013-14,62021,3536,4666,4807,4635,4504,4532,4706,4235,4080,4280,5186,4975,4048,3831,30162,48.6,31858,51.4,5077,8.2,8150,13.1,16422,26.5,932,1.5,31440,50.7,13473,21.7,3177,5.1,34414,55.5,No Data
32,2013-14,14636,1226,1091,1221,1203,1155,1171,1149,1229,1289,1269,644,875,572,542,7253,49.6,7383,50.4,264,1.8,2856,19.5,11191,76.5,106,0.7,219,1.5,2627,17.9,2608,17.8,12898,88.1,No Data
75,2013-14,23304,323,1513,1651,1599,1621,1570,1577,1547,1524,1565,2043,1641,1251,3879,6281,27,17023,73,1480,6.4,8882,38.1,8815,37.8,1092,4.7,3035,13,22755,97.6,4253,18.3,15815,67.9,No Data
79,2013-14,5574,0,0,0,0,0,1,2,10,39,90,869,4276,167,120,1985,35.6,3589,64.4,406,7.3,2557,45.9,2258,40.5,92,1.7,261,4.7,811,14.5,1287,23.1,3156,56.6,No Data
84,2013-14,71905,0,9670,9045,7701,6746,5601,6630,6593,4930,3894,4736,2974,1948,1437,36671,51,35234,49,1516,2.1,41388,57.6,25078,34.9,1287,1.8,2636,3.7,11208,15.6,4541,6.3,57264,79.6,No Data
1,2014-15,12316,1106,901,934,897,871,920,912,826,743,844,659,983,890,830,6040,49,6276,51,2812,22.8,2083,16.9,5039,40.9,302,2.5,2080,16.9,2550,20.7,1200,9.7,7911,64.2,62.1%
2,2014-15,62854,1642,3139,3068,3086,2901,2845,2584,2494,2390,2319,10124,9706,8599,7957,32917,52.4,29937,47.6,14595,23.2,10299,16.4,21067,33.5,2039,3.2,14854,23.6,9793,15.6,5776,9.2,34361,54.7,50.1%
3,2014-15,22920,986,1507,1501,1432,1356,1423,1456,1351,1390,1354,2290,2473,2135,2266,12266,53.5,10654,46.5,1786,7.8,5476,23.9,7947,34.7,838,3.7,6873,30,3806,16.6,1267,5.5,11688,51,47.3%
4,2014-15,14220,1086,993,1076,1090,1081,1075,1041,1052,1041,1035,1034,1012,850,754,7257,51,6963,49,954,6.7,3729,26.2,8731,61.4,242,1.7,564,4,3307,23.3,1491,10.5,11433,80.4,77.4%
5,2014-15,12943,1349,818,870,852,867,875,805,797,868,935,1106,1060,862,879,6254,48.3,6689,51.7,427,3.3,6685,51.6,5078,39.2,244,1.9,509,3.9,2623,20.3,1154,8.9,10677,82.5,77.8%
6,2014-15,24817,1859,1953,2001,2090,2008,2058,1714,1736,1763,1893,1763,1506,1174,1299,12100,48.8,12717,51.2,297,1.2,1851,7.5,21467,86.5,169,0.7,1033,4.2,4233,17.1,7117,28.7,20945,84.4,77.7%
7,2014-15,20696,1477,1326,1353,1343,1277,1348,1268,1264,1347,1337,2177,2140,1435,1604,9733,47,10963,53,247,1.2,5593,27,14378,69.5,162,0.8,316,1.5,4513,21.8,3458,16.7,18947,91.5,86.5%
8,2014-15,30166,2171,2367,2355,2286,2234,2286,2024,2028,2099,2162,2374,2201,1667,1912,14706,48.8,15460,51.2,1537,5.1,7182,23.8,19056,63.2,373,1.2,2018,6.7,6899,22.9,3586,11.9,23923,79.3,75.0%
9,2014-15,37312,2464,3005,3128,3132,3001,2902,2675,2723,2861,2834,2420,2284,2038,1845,18182,48.7,19130,51.3,539,1.4,11207,30,24841,66.6,266,0.7,459,1.2,7620,20.4,8195,22,33824,90.7,87.0%
10,2014-15,57714,3032,4566,4641,4516,4443,4264,4075,3758,3716,3747,4870,4481,3731,3874,28202,48.9,29512,51.1,4299,7.4,9852,17.1,39242,68,782,1.4,3539,6.1,11244,19.5,11537,20,47168,81.7,77.0%
11,2014-15,41182,2890,3175,3414,3371,3247,3263,3114,2928,3007,3171,3039,2661,1944,1958,19769,48,21413,52,3047,7.4,17363,42.2,16640,40.4,748,1.8,3384,8.2,7782,18.9,3803,9.2,30495,74,67.2%
12,2014-15,25000,1631,1956,2051,2000,1857,1986,1701,1680,1736,1796,1907,1808,1523,1368,12278,49.1,12722,50.9,542,2.2,6633,26.5,17054,68.2,357,1.4,414,1.7,5154,20.6,4521,18.1,22277,89.1,84.9%
13,2014-15,22253,1115,1201,1240,1242,1178,1084,941,723,755,913,3008,2929,2908,3016,10726,48.2,11527,51.8,4134,18.6,11072,49.8,3601,16.2,672,3,2774,12.5,2952,13.3,954,4.3,15219,68.4,58.0%
14,2014-15,20761,1701,1317,1393,1359,1257,1170,1204,1291,1234,1300,2147,1975,1645,1768,9934,47.8,10827,52.2,846,4.1,4774,23,12155,58.5,319,1.5,2667,12.8,4071,19.6,2286,11,14780,71.2,69.5%
15,2014-15,31916,2457,3233,3252,3262,3004,2836,2683,1772,1753,1708,1721,1735,1312,1188,16094,50.4,15822,49.6,5110,16,4866,15.2,12493,39.1,786,2.5,8661,27.1,5840,18.3,5528,17.3,18275,57.3,54.6%
16,2014-15,8314,817,643,604,622,668,644,588,426,514,511,552,511,482,732,3967,47.7,4347,52.3,140,1.7,6496,78.1,1476,17.8,99,1.2,103,1.2,1938,23.3,378,4.5,6763,81.3,78.7%
17,2014-15,25523,2310,1549,1559,1659,1641,1598,1399,1687,1784,1903,2254,2210,1959,2011,12773,50,12750,50,599,2.3,20095,78.7,3574,14,477,1.9,778,3,4156,16.3,2382,9.3,20584,80.6,69.6%
18,2014-15,17452,1277,1162,1256,1319,1275,1403,1205,1187,1325,1339,1314,1294,1051,1045,8569,49.1,8883,50.9,213,1.2,15318,87.8,1270,7.3,258,1.5,393,2.3,2946,16.9,815,4.7,13560,77.7,61.6%
19,2014-15,24163,2015,1718,1909,1992,1887,1912,1742,1638,1789,1764,1653,1452,1253,1439,11487,47.5,12676,52.5,1634,6.8,11720,48.5,10079,41.7,343,1.4,387,1.6,4675,19.3,2767,11.5,20354,84.2,78.1%
20,2014-15,51080,2695,4181,4231,4220,4160,3869,3678,3790,3676,3581,3929,3872,2440,2758,24519,48,26561,52,21430,42,1698,3.3,13385,26.2,424,0.8,14143,27.7,7279,14.3,12580,24.6,37923,74.2,66.3%
21,2014-15,35814,2350,2173,2228,2291,2115,2112,2023,2826,2793,2780,3637,3353,2440,2693,17358,48.5,18456,51.5,8843,24.7,5729,16,8988,25.1,455,1.3,11799,32.9,6006,16.8,5429,15.2,24658,68.9,63.3%
22,2014-15,35745,2672,2750,2919,3044,2874,2818,2687,2067,2140,2261,2449,2703,2207,2154,17624,49.3,18121,50.7,6576,18.4,12594,35.2,5285,14.8,510,1.4,10780,30.2,5361,15,3602,10.1,23228,65,55.0%
23,2014-15,10459,831,795,818,850,758,779,774,894,994,1018,480,492,438,538,4964,47.5,5495,52.5,99,0.9,8000,76.5,2132,20.4,129,1.2,99,0.9,2358,22.5,476,4.6,9158,87.6,81.2%
24,2014-15,60211,3466,5182,5325,5164,4977,4928,4641,4134,4181,4333,3886,3514,2961,3519,28524,47.4,31687,52.6,11789,19.6,1803,3,37613,62.5,503,0.8,8503,14.1,8911,14.8,13011,21.6,43368,72,60.9%
25,2014-15,38140,2816,2934,2991,3108,2796,2676,2632,2584,2513,2512,3129,2683,2233,2533,18629,48.8,19511,51.2,17942,47,3311,8.7,10939,28.7,478,1.3,5470,14.3,5199,13.6,6893,18.1,26126,68.5,48.0%
26,2014-15,32273,1477,1850,1861,1951,1770,1756,1877,1905,1914,1925,4279,3547,3307,2854,15754,48.8,16519,51.2,16616,51.5,3943,12.2,5480,17,573,1.8,5661,17.5,4278,13.3,2336,7.2,18439,57.1,33.1%
27,2014-15,46094,2817,3542,3748,3844,3536,3486,3493,3644,3614,3714,3403,2562,2514,2177,22042,47.8,24052,52.2,10540,22.9,11573,25.1,17340,37.6,1944,4.2,4697,10.2,7606,16.5,4424,9.6,35352,76.7,59.3%
28,2014-15,41339,2613,2814,2958,2855,2795,2694,2514,2435,2386,2383,4108,3812,3555,3417,20451,49.5,20888,50.5,11914,28.8,9980,24.1,11054,26.7,1877,4.5,6514,15.8,5881,14.2,3839,9.3,28212,68.2,50.5%
29,2014-15,28167,2361,2262,2472,2641,2517,2424,2387,2196,2230,2382,1348,1076,954,917,13764,48.9,14403,51.1,4204,14.9,18669,66.3,3983,14.1,810,2.9,501,1.8,4379,15.5,1982,7,20967,74.4,51.5%
30,2014-15,41470,3087,3222,3225,3328,3134,3050,2902,3423,3215,3241,2926,2758,1930,2029,20467,49.4,21003,50.6,9207,22.2,2852,6.9,22264,53.7,653,1.6,6494,15.7,5781,13.9,7577,18.3,29237,70.5,59.7%
31,2014-15,62335,3905,4602,4810,4693,4625,4485,4508,4303,4286,4127,5102,4954,4202,3733,30382,48.7,31953,51.3,5128,8.2,8147,13.1,17030,27.3,980,1.6,31050,49.8,13788,22.1,3182,5.1,34614,55.5,43.7%
32,2014-15,14011,1433,996,1059,1118,1098,1091,1090,1128,1192,1237,642,878,534,515,6886,49.1,7125,50.9,269,1.9,2569,18.3,10848,77.4,81,0.6,244,1.7,2532,18.1,2567,18.3,12086,86.3,80.8%
75,2014-15,23472,301,1368,1773,1742,1665,1639,1600,1477,1561,1533,1987,1697,1360,3769,6351,27.1,17121,72.9,1627,6.9,8961,38.2,9359,39.9,358,1.5,3167,13.5,22936,97.7,4522,19.3,15689,66.8,71.0%
79,2014-15,4934,0,0,0,0,0,0,1,10,34,136,703,3792,164,94,1751,35.5,3183,64.5,417,8.5,2115,42.9,1932,39.2,94,1.9,376,7.6,1020,20.7,822,16.7,2580,52.3,70.6%
84,2014-15,84717,194,10575,10681,9011,7659,6530,7567,7754,6503,4765,5258,3795,2542,1883,43183,51,41534,49,1909,2.3,47728,56.3,30352,35.8,1442,1.7,3286,3.9,13374,15.8,5285,6.2,65867,77.7,68.4%
1,2015-16,12009,842,905,912,899,858,849,904,854,825,798,660,974,862,867,5873,48.9,6136,51.1,2565,21.4,2027,16.9,5024,41.8,328,2.7,2065,17.2,2577,21.5,1092,9.1,7556,62.9,61.4%
2,2015-16,63493,2307,3012,2966,2909,2966,2886,2762,2558,2462,2412,9971,9765,8239,8278,33244,52.4,30249,47.6,14707,23.2,10003,15.8,20921,33,2406,3.8,15456,24.3,10437,16.4,5254,8.3,33540,52.8,48.6%
3,2015-16,22866,1106,1476,1511,1447,1401,1293,1398,1469,1333,1371,2377,2436,2164,2084,12245,53.6,10621,46.4,1766,7.7,5326,23.3,7742,33.9,972,4.3,7060,30.9,3900,17.1,1176,5.1,11137,48.7,45.8%
4,2015-16,13946,989,988,1024,1034,1043,1035,1054,996,1040,1041,990,1005,889,818,7153,51.3,6793,48.7,989,7.1,3560,25.5,8501,61,296,2.1,600,4.3,3343,24,1389,10,11188,80.2,77.0%
5,2015-16,12440,1175,814,860,859,805,867,799,779,770,890,1015,983,951,873,6008,48.3,6432,51.7,449,3.6,6204,49.9,4979,40,267,2.1,541,4.3,2614,21,1094,8.8,10186,81.9,77.2%
6,2015-16,24419,1986,1916,1983,1933,2005,1983,1676,1669,1755,1796,1775,1515,1109,1318,11896,48.7,12523,51.3,301,1.2,1806,7.4,21024,86.1,187,0.8,1101,4.5,4484,18.4,6579,26.9,20288,83.1,76.5%
7,2015-16,20596,1429,1332,1377,1304,1273,1240,1343,1143,1271,1337,2073,2139,1619,1716,9667,46.9,10929,53.1,228,1.1,5522,26.8,14382,69.8,176,0.9,288,1.4,4807,23.3,3342,16.2,18863,91.6,85.8%
8,2015-16,29783,2127,2204,2396,2255,2211,2240,2251,1896,2057,2124,2414,2089,1708,1811,14428,48.4,15355,51.6,1591,5.3,6885,23.1,19097,64.1,372,1.2,1838,6.2,7001,23.5,3524,11.8,23152,77.7,74.4%
9,2015-16,37439,2766,3013,3045,2994,3010,2945,2812,2668,2750,2848,2474,2278,1967,1869,18375,49.1,19064,50.9,521,1.4,11007,29.4,25209,67.3,281,0.8,421,1.1,7899,21.1,8251,22,33595,89.7,86.8%
10,2015-16,57738,3652,4260,4648,4574,4407,4401,4134,3713,3734,3704,4666,4343,3756,3746,28143,48.7,29595,51.3,4216,7.3,9546,16.5,39707,68.8,934,1.6,3335,5.8,11486,19.9,11003,19.1,46779,81,76.6%
11,2015-16,41390,3209,3118,3387,3425,3329,3230,3282,2944,2937,3096,2944,2552,1906,2031,19833,47.9,21557,52.1,3083,7.4,17056,41.2,17131,41.4,764,1.8,3356,8.1,8053,19.5,3913,9.5,29945,72.3,65.9%
12,2015-16,24848,1613,1888,1983,2011,1892,1865,1912,1625,1702,1703,1849,1860,1538,1407,12222,49.2,12626,50.8,571,2.3,6349,25.6,17302,69.6,307,1.2,319,1.3,5353,21.5,4465,18,21956,88.4,85.3%
13,2015-16,22010,1233,1168,1223,1178,1191,1106,1026,691,714,746,3014,2986,2690,3044,10592,48.1,11418,51.9,4166,18.9,10521,47.8,3572,16.2,714,3.2,3037,13.8,3023,13.7,941,4.3,14297,65,55.7%
14,2015-16,19995,1557,1275,1303,1360,1299,1247,1107,1262,1273,1220,1975,1862,1568,1687,9497,47.5,10498,52.5,869,4.3,4474,22.4,11693,58.5,354,1.8,2605,13,4133,20.7,2104,10.5,13774,68.9,68.2%
15,2015-16,32630,2743,3202,3220,3161,3107,2917,2738,1949,1744,1761,1674,1748,1366,1300,16457,50.4,16173,49.6,5186,15.9,4800,14.7,12438,38.1,972,3,9234,28.3,6183,18.9,5176,15.9,18091,55.4,52.5%
